Index,Year,Month,Price,Real price,Real total return price
1,1871,January,4.44,110.31,110.31
2,1871,February,4.5,108.49,109.01
3,1871,March,4.61,109.52,110.56
4,1871,April,4.74,116.87,118.53
5,1871,May,4.86,122.62,124.91
6,1871,June,4.82,123.52,126.4
7,1871,July,4.73,121.22,124.61
8,1871,August,4.79,124.72,128.78
9,1871,September,4.84,123.07,127.65
10,1871,October,4.59,114.92,119.76
11,1871,November,4.64,116.17,121.62
12,1871,December,4.74,115.99,122
13,1872,January,4.86,118.93,125.65
14,1872,February,4.88,119.42,126.74
15,1872,March,5.04,121.51,129.54
16,1872,April,5.18,122.17,130.81
17,1872,May,5.18,122.17,131.39
18,1872,June,5.13,121.87,131.67
19,1872,July,5.1,122.96,133.46
20,1872,August,5.04,120.62,131.54
21,1872,September,4.95,117.6,128.87
22,1872,October,4.97,120.72,132.94
23,1872,November,4.95,116.74,129.21
24,1872,December,5.07,121.33,134.95
25,1873,January,5.11,122.29,136.69
26,1873,February,5.15,120.59,135.45
27,1873,March,5.11,119.65,135.07
28,1873,April,5.04,118.01,133.9
29,1873,May,5.05,120.85,137.83
30,1873,June,4.98,122.79,140.78
31,1873,July,4.97,122.54,141.25
32,1873,August,4.97,122.54,142
33,1873,September,4.59,113.17,131.91
34,1873,October,4.19,105.71,124.01
35,1873,November,4.04,105.19,124.24
36,1873,December,4.42,112.39,133.56
37,1874,January,4.66,116.67,139.47
38,1874,February,4.8,120.17,144.48
39,1874,March,4.73,118.42,143.2
40,1874,April,4.6,116.97,142.28
41,1874,May,4.48,114.81,140.52
42,1874,June,4.46,117.06,144.16
43,1874,July,4.46,116.13,143.89
44,1874,August,4.47,117.33,146.27
45,1874,September,4.54,119.16,149.46
46,1874,October,4.53,120.85,152.5
47,1874,November,4.57,122.93,156.05
48,1874,December,4.54,122.12,155.96
49,1875,January,4.54,122.12,156.9
50,1875,February,4.53,121.85,157.49
51,1875,March,4.59,123.46,160.51
52,1875,April,4.65,124.05,162.2
53,1875,May,4.47,122.26,160.8
54,1875,June,4.38,121.84,161.22
55,1875,July,4.39,122.12,162.54
56,1875,August,4.41,121.64,162.85
57,1875,September,4.37,121.56,163.7
58,1875,October,4.3,119.62,162.03
59,1875,November,4.37,122.61,167.05
60,1875,December,4.37,123.68,169.47
61,1876,January,4.46,127.33,175.45
62,1876,February,4.52,129.05,178.8
63,1876,March,4.51,128.76,179.39
64,1876,April,4.34,125,175.16
65,1876,May,4.18,124.81,175.94
66,1876,June,4.15,127.42,180.7
67,1876,July,4.1,125.89,179.61
68,1876,August,3.93,119.54,171.64
69,1876,September,3.69,111.2,160.75
70,1876,October,3.67,108.59,158.04
71,1876,November,3.6,105.56,154.69
72,1876,December,3.58,103.11,152.17
73,1877,January,3.55,100.47,149.28
74,1877,February,3.34,97.06,145.23
75,1877,March,3.17,96.42,145.31
76,1877,April,2.94,86.99,132.07
77,1877,May,2.94,85.44,130.64
78,1877,June,2.73,83.82,129.14
79,1877,July,2.85,86.69,134.48
80,1877,August,3.05,96.38,150.43
81,1877,September,3.24,103.38,162.27
82,1877,October,3.31,105.62,166.64
83,1877,November,3.26,106.1,168.26
84,1877,December,3.25,105.78,168.56
85,1878,January,3.25,109.05,174.62
86,1878,February,3.18,107.81,173.49
87,1878,March,3.24,112.18,181.39
88,1878,April,3.33,116.54,189.32
89,1878,May,3.34,120.79,197.12
90,1878,June,3.41,126.12,206.76
91,1878,July,3.48,127.26,209.55
92,1878,August,3.45,124.76,206.35
93,1878,September,3.52,127.3,211.45
94,1878,October,3.48,127.26,212.31
95,1878,November,3.47,128.34,215.04
96,1878,December,3.45,130.57,219.72
97,1879,January,3.58,133.93,226.33
98,1879,February,3.71,137.21,232.84
99,1879,March,3.65,136.55,232.69
100,1879,April,3.77,142.68,244.13
101,1879,May,3.94,149.11,256.16
102,1879,June,3.96,151.63,261.53
103,1879,July,4.04,152.9,264.75
104,1879,August,4.07,154.03,267.77
105,1879,September,4.22,154.32,269.32
106,1879,October,4.68,162.04,283.78
107,1879,November,4.93,162.08,284.79
108,1879,December,4.92,156.99,276.79
109,1880,January,5.11,158.39,280.2
110,1880,February,5.2,161.18,286.09
111,1880,March,5.3,162.74,289.82
112,1880,April,5.18,165.29,295.41
113,1880,May,4.77,156.82,281.37
114,1880,June,4.79,160.72,289.53
115,1880,July,5.01,168.1,304.01
116,1880,August,5.19,174.14,316.15
117,1880,September,5.18,172.03,313.55
118,1880,October,5.33,177.02,323.89
119,1880,November,5.61,184.43,338.74
120,1880,December,5.84,190.07,350.4
121,1881,January,6.19,203.5,376.49
122,1881,February,6.17,200.81,372.87
123,1881,March,6.24,203.09,378.49
124,1881,April,6.22,200.44,374.94
125,1881,May,6.5,211.55,397.18
126,1881,June,6.58,214.16,403.55
127,1881,July,6.35,204.63,387.08
128,1881,August,6.2,195.91,372.09
129,1881,September,6.25,190.11,362.54
130,1881,October,6.15,185.34,354.92
131,1881,November,6.19,188.29,362.09
132,1881,December,6.01,182.81,353.13
133,1882,January,5.92,180.07,349.4
134,1882,February,5.79,174.49,340.13
135,1882,March,5.78,174.19,341.1
136,1882,April,5.78,172.59,339.53
137,1882,May,5.71,168.95,333.93
138,1882,June,5.68,166.55,330.72
139,1882,July,6,177.53,354.1
140,1882,August,6.18,181.21,363
141,1882,September,6.24,188.05,378.31
142,1882,October,6.07,184.64,373.08
143,1882,November,5.81,178.39,362.12
144,1882,December,5.84,181.02,369.13
145,1883,January,5.81,180.09,368.93
146,1883,February,5.68,174.4,358.96
147,1883,March,5.75,178.23,368.55
148,1883,April,5.87,183.7,381.61
149,1883,May,5.77,182.33,380.52
150,1883,June,5.82,189.42,397.17
151,1883,July,5.73,190.3,400.9
152,1883,August,5.47,181.67,384.62
153,1883,September,5.53,185.55,394.78
154,1883,October,5.38,180.52,386.03
155,1883,November,5.46,185.11,397.84
156,1883,December,5.34,179.18,387.07
157,1884,January,5.18,173.81,377.45
158,1884,February,5.32,178.51,389.64
159,1884,March,5.3,177.83,390.16
160,1884,April,5.06,173.36,382.35
161,1884,May,4.65,162.74,361
162,1884,June,4.46,156.09,348.32
163,1884,July,4.46,157.78,354.2
164,1884,August,4.74,167.69,378.53
165,1884,September,4.59,164.17,372.7
166,1884,October,4.44,160.57,366.67
167,1884,November,4.35,160.89,369.59
168,1884,December,4.34,162.36,375.2
169,1885,January,4.24,158.62,368.75
170,1885,February,4.37,161.62,377.87
171,1885,March,4.38,165.76,389.71
172,1885,April,4.37,163.48,386.45
173,1885,May,4.32,165.42,393.13
174,1885,June,4.3,168.62,402.88
175,1885,July,4.46,172.81,414.97
176,1885,August,4.71,182.5,440.27
177,1885,September,4.65,182.34,441.93
178,1885,October,4.92,192.93,469.58
179,1885,November,5.24,203.03,496.1
180,1885,December,5.2,196.8,482.72
181,1886,January,5.2,201.48,496.1
182,1886,February,5.3,205.36,507.52
183,1886,March,5.19,203.52,504.87
184,1886,April,5.12,203.22,506.05
185,1886,May,5.02,204.23,510.53
186,1886,June,5.25,216.29,542.65
187,1886,July,5.33,216.84,545.98
188,1886,August,5.37,215.77,545.19
189,1886,September,5.51,221.4,561.31
190,1886,October,5.65,227.03,577.47
191,1886,November,5.79,232.65,593.67
192,1886,December,5.64,223.86,573.09
193,1887,January,5.58,216.2,555.33
194,1887,February,5.54,212.13,546.71
195,1887,March,5.67,217.11,561.41
196,1887,April,5.8,222.09,576.18
197,1887,May,5.9,225.91,588.04
198,1887,June,5.73,222.02,579.87
199,1887,July,5.59,219.2,574.54
200,1887,August,5.45,211.17,555.52
201,1887,September,5.38,210.97,557.07
202,1887,October,5.2,201.48,534.11
203,1887,November,5.3,202.94,540.07
204,1887,December,5.27,197.15,526.75
205,1888,January,5.31,196.39,526.76
206,1888,February,5.28,197.53,531.86
207,1888,March,5.08,190.04,513.77
208,1888,April,5.1,193.01,523.87
209,1888,May,5.17,197.96,539.4
210,1888,June,5.01,194.12,531.04
211,1888,July,5.14,196.81,540.49
212,1888,August,5.25,201.03,554.13
213,1888,September,5.38,206,569.92
214,1888,October,5.35,202.47,562.19
215,1888,November,5.24,196.03,546.31
216,1888,December,5.14,192.29,537.88
217,1889,January,5.24,203.03,570
218,1889,February,5.3,207.83,585.56
219,1889,March,5.19,206,582.52
220,1889,April,5.18,205.6,583.52
221,1889,May,5.32,216.44,616.45
222,1889,June,5.41,220.1,629.05
223,1889,July,5.3,215.62,618.43
224,1889,August,5.37,218.47,628.77
225,1889,September,5.5,221,638.19
226,1889,October,5.4,216.98,628.73
227,1889,November,5.35,214.97,625.05
228,1889,December,5.32,211.16,616.08
229,1890,January,5.38,218.88,640.78
230,1890,February,5.32,216.44,635.82
231,1890,March,5.28,214.81,633.23
232,1890,April,5.39,219.29,648.62
233,1890,May,5.62,225.82,670.13
234,1890,June,5.58,224.21,667.54
235,1890,July,5.54,222.61,664.95
236,1890,August,5.41,209.62,628.28
237,1890,September,5.32,203.71,612.66
238,1890,October,5.08,194.52,587.13
239,1890,November,4.71,184.69,559.66
240,1890,December,4.6,180.38,548.76
241,1891,January,4.84,192.11,586.65
242,1891,February,4.9,192.14,588.96
243,1891,March,4.81,186.37,573.44
244,1891,April,4.97,190.3,587.7
245,1891,May,4.95,191.79,594.5
246,1891,June,4.85,192.5,598.95
247,1891,July,4.77,191.67,598.64
248,1891,August,4.93,198.09,621.02
249,1891,September,5.33,216.84,682.14
250,1891,October,5.33,216.84,684.48
251,1891,November,5.25,216.29,685.13
252,1891,December,5.41,222.89,708.4
253,1892,January,5.51,232.9,742.72
254,1892,February,5.52,233.32,746.57
255,1892,March,5.58,242.15,777.42
256,1892,April,5.57,244.98,789.18
257,1892,May,5.57,244.98,791.87
258,1892,June,5.54,243.66,790.33
259,1892,July,5.54,237.25,772.22
260,1892,August,5.62,237.55,775.87
261,1892,September,5.48,231.63,759.25
262,1892,October,5.59,236.28,777.22
263,1892,November,5.57,229.48,757.52
264,1892,December,5.51,224.17,742.68
265,1893,January,5.61,219.99,731.44
266,1893,February,5.51,213.49,712.44
267,1893,March,5.31,210.76,706
268,1893,April,5.31,213.36,717.45
269,1893,May,4.84,196.91,664.9
270,1893,June,4.61,192.36,652.42
271,1893,July,4.18,179.01,610.11
272,1893,August,4.08,181.91,623.11
273,1893,September,4.37,187.15,644.08
274,1893,October,4.5,190.21,657.64
275,1893,November,4.57,198.32,688.8
276,1893,December,4.41,193.96,676.84
277,1894,January,4.32,195.28,684.69
278,1894,February,4.38,200.78,707.24
279,1894,March,4.51,212.73,752.66
280,1894,April,4.57,215.56,765.96
281,1894,May,4.4,207.55,740.73
282,1894,June,4.34,204.72,733.86
283,1894,July,4.25,200.47,721.83
284,1894,August,4.41,202.16,730.98
285,1894,September,4.48,202.51,735.27
286,1894,October,4.34,201.79,735.69
287,1894,November,4.34,201.79,738.7
288,1894,December,4.3,202.83,745.52
289,1895,January,4.25,200.47,739.86
290,1895,February,4.19,197.64,732.42
291,1895,March,4.19,197.64,735.4
292,1895,April,4.37,197.54,737.89
293,1895,May,4.61,205.54,770.55
294,1895,June,4.7,206.72,777.72
295,1895,July,4.72,210.44,794.5
296,1895,August,4.79,216.53,820.28
297,1895,September,4.82,217.88,828.2
298,1895,October,4.75,214.72,818.94
299,1895,November,4.59,207.49,794.11
300,1895,December,4.32,198.03,760.7
301,1896,January,4.27,198.54,765.46
302,1896,February,4.45,209.9,812.14
303,1896,March,4.38,206.6,802.21
304,1896,April,4.42,211.56,824.34
305,1896,May,4.4,213.74,835.79
306,1896,June,4.32,213.03,836
307,1896,July,4.04,199.23,784.78
308,1896,August,3.81,187.88,743.07
309,1896,September,4.01,197.75,785.04
310,1896,October,4.1,196.24,781.93
311,1896,November,4.38,203.65,814.26
312,1896,December,4.22,196.21,787.3
313,1897,January,4.22,201.98,813.34
314,1897,February,4.18,200.07,808.52
315,1897,March,4.19,200.55,813.35
316,1897,April,4.06,197.23,802.84
317,1897,May,4.08,201.2,822.03
318,1897,June,4.27,210.57,863.33
319,1897,July,4.46,219.94,904.78
320,1897,August,4.75,224.06,924.62
321,1897,September,4.98,228.29,944.93
322,1897,October,4.82,224.11,930.52
323,1897,November,4.65,216.2,900.6
324,1897,December,4.75,220.85,922.87
325,1898,January,4.88,226.9,951.07
326,1898,February,4.87,223.24,938.69
327,1898,March,4.65,213.16,899.25
328,1898,April,4.57,209.49,886.79
329,1898,May,4.87,208.56,885.68
330,1898,June,5.06,231.95,988.12
331,1898,July,5.08,236.2,1009.36
332,1898,August,5.27,245.03,1050.31
333,1898,September,5.26,244.57,1051.56
334,1898,October,5.15,239.45,1032.84
335,1898,November,5.32,247.36,1070.25
336,1898,December,5.65,259,1123.94
337,1899,January,6.08,278.71,1212.8
338,1899,February,6.31,281.33,1227.46
339,1899,March,6.4,285.34,1248.25
340,1899,April,6.48,285.01,1250.03
341,1899,May,6.21,273.13,1201.23
342,1899,June,6.07,263.41,1161.76
343,1899,July,6.28,268.94,1189.37
344,1899,August,6.44,272.21,1207.05
345,1899,September,6.37,259.16,1152.28
346,1899,October,6.34,254.75,1135.8
347,1899,November,6.46,256.41,1146.27
348,1899,December,6.02,236.06,1058.39
349,1900,January,6.1,239.2,1075.64
350,1900,February,6.21,240.62,1085.27
351,1900,March,6.26,242.55,1097.39
352,1900,April,6.34,245.65,1114.92
353,1900,May,6.04,239.74,1091.79
354,1900,June,5.86,235.46,1076.22
355,1900,July,5.86,232.59,1067.06
356,1900,August,5.94,238.68,1099.13
357,1900,September,5.8,230.21,1064.36
358,1900,October,6.01,241.49,1120.93
359,1900,November,6.48,260.38,1213.14
360,1900,December,6.87,279.5,1306.96
361,1901,January,7.07,284.08,1333.13
362,1901,February,7.25,294.96,1388.99
363,1901,March,7.51,305.53,1443.67
364,1901,April,8.14,335.36,1589.56
365,1901,May,7.73,318.47,1514.51
366,1901,June,8.5,350.19,1670.44
367,1901,July,7.93,322.62,1543.98
368,1901,August,8.04,323.06,1551.09
369,1901,September,8,317.53,1529.55
370,1901,October,7.91,313.96,1517.39
371,1901,November,8.08,316.84,1536.36
372,1901,December,7.95,308.03,1498.65
373,1902,January,8.12,318.41,1554.24
374,1902,February,8.19,321.16,1572.77
375,1902,March,8.2,321.55,1579.85
376,1902,April,8.48,328.57,1619.48
377,1902,May,8.46,323.94,1601.75
378,1902,June,8.41,318.28,1578.84
379,1902,July,8.6,325.47,1619.6
380,1902,August,8.83,338.11,1687.67
381,1902,September,8.85,334.93,1676.98
382,1902,October,8.57,303.18,1522.85
383,1902,November,8.24,301.33,1518.62
384,1902,December,8.05,291.12,1472.13
385,1903,January,8.46,302.58,1535.1
386,1903,February,8.41,300.79,1531.07
387,1903,March,8.08,298.84,1526.39
388,1903,April,7.75,286.63,1469.35
389,1903,May,7.6,287.62,1479.9
390,1903,June,7.18,271.73,1403.63
391,1903,July,6.85,259.24,1344.68
392,1903,August,6.63,250.91,1307.11
393,1903,September,6.47,242.04,1266.51
394,1903,October,6.26,236.91,1245.37
395,1903,November,6.28,240.46,1269.89
396,1903,December,6.57,251.57,1334.43
397,1904,January,6.68,249.9,1331.31
398,1904,February,6.5,237.7,1271.91
399,1904,March,6.48,239.66,1288
400,1904,April,6.64,248.4,1340.62
401,1904,May,6.5,248.89,1348.97
402,1904,June,6.51,249.27,1356.75
403,1904,July,6.78,259.61,1418.7
404,1904,August,7.01,265.3,1455.34
405,1904,September,7.32,273.84,1507.7
406,1904,October,7.75,289.93,1601.71
407,1904,November,8.17,298.78,1655.85
408,1904,December,8.25,301.7,1677.3
409,1905,January,8.43,308.28,1719.17
410,1905,February,8.8,321.81,1799.95
411,1905,March,9.05,334.71,1877.54
412,1905,April,8.94,330.65,1860.2
413,1905,May,8.5,317.99,1794.56
414,1905,June,8.6,321.73,1821.3
415,1905,July,8.87,331.83,1884.16
416,1905,August,9.2,340.26,1937.7
417,1905,September,9.23,345.3,1972.14
418,1905,October,9.36,350.16,2005.74
419,1905,November,9.31,344.33,1978.14
420,1905,December,9.54,348.88,2010.03
421,1906,January,9.87,360.94,2085.45
422,1906,February,9.8,358.38,2076.68
423,1906,March,9.56,349.61,2031.96
424,1906,April,9.43,344.85,2010.58
425,1906,May,9.18,331.98,1941.84
426,1906,June,9.3,336.32,1973.66
427,1906,July,9.06,338.94,1995.8
428,1906,August,9.73,355.82,2102
429,1906,September,10.03,362.72,2149.54
430,1906,October,9.73,344.22,2046.69
431,1906,November,9.93,347.52,2073.15
432,1906,December,9.84,340.71,2039.39
433,1907,January,9.56,334.57,2009.7
434,1907,February,9.26,317.25,1912.62
435,1907,March,8.35,289.11,1750.15
436,1907,April,8.39,290.5,1765.75
437,1907,May,8.1,274.61,1676.35
438,1907,June,7.84,263.06,1613
439,1907,July,8.14,273.13,1681.97
440,1907,August,7.53,252.66,1563.28
441,1907,September,7.45,249.98,1554.11
442,1907,October,6.64,220.52,1378.46
443,1907,November,6.25,216.4,1360.58
444,1907,December,6.57,232.43,1469.48
445,1908,January,6.85,245,1557.18
446,1908,February,6.6,238.68,1525.32
447,1908,March,6.87,248.44,1596
448,1908,April,7.24,258.94,1671.64
449,1908,May,7.63,272.89,1769.83
450,1908,June,7.64,273.25,1780.27
451,1908,July,7.92,280.19,1833.46
452,1908,August,8.26,292.21,1920.14
453,1908,September,8.17,289.03,1907.16
454,1908,October,8.27,289.42,1917.58
455,1908,November,8.83,305.73,2033.36
456,1908,December,9.03,309.37,2065.12
457,1909,January,9.06,313.7,2101.79
458,1909,February,8.8,301.49,2027.76
459,1909,March,8.92,305.6,2063.28
460,1909,April,9.32,312.72,2119.17
461,1909,May,9.63,319.82,2175.13
462,1909,June,9.8,322.18,2198.99
463,1909,July,9.94,326.78,2238.31
464,1909,August,10.18,331.33,2277.36
465,1909,September,10.19,328.37,2264.98
466,1909,October,10.23,323.26,2237.57
467,1909,November,10.18,318.58,2213.11
468,1909,December,10.3,319.27,2225.76
469,1910,January,10.08,315.45,2207.21
470,1910,February,9.72,304.19,2136.5
471,1910,March,9.96,305.82,2156
472,1910,April,9.72,295.66,2092.42
473,1910,May,9.56,296.33,2105.44
474,1910,June,9.1,284.79,2031.84
475,1910,July,8.64,270.39,1937.65
476,1910,August,8.85,279.65,2012.69
477,1910,September,8.91,284.31,2055.06
478,1910,October,9.32,306.4,2223.97
479,1910,November,9.31,312.39,2276.89
480,1910,December,9.05,303.66,2222.88
481,1911,January,9.27,311.04,2286.54
482,1911,February,9.43,326.51,2410.2
483,1911,March,9.32,319.3,2366.91
484,1911,April,9.28,328.3,2443.87
485,1911,May,9.48,335.37,2506.85
486,1911,June,9.67,342.1,2567.45
487,1911,July,9.63,337.02,2539.64
488,1911,August,9.17,310.89,2352.75
489,1911,September,8.67,290.91,2211.49
490,1911,October,8.72,292.59,2234.24
491,1911,November,9.07,307.5,2358.24
492,1911,December,9.11,312.11,2403.87
493,1912,January,9.12,309.2,2391.68
494,1912,February,9.04,303.33,2356.48
495,1912,March,9.3,305.74,2385.33
496,1912,April,9.59,306.01,2397.19
497,1912,May,9.58,305.69,2404.57
498,1912,June,9.58,308.71,2438.41
499,1912,July,9.59,309.04,2451.05
500,1912,August,9.81,313.03,2492.75
501,1912,September,9.86,311.57,2491.13
502,1912,October,9.84,310.93,2496.15
503,1912,November,9.73,307.46,2478.38
504,1912,December,9.38,299.31,2422.94
505,1913,January,9.3,293.87,2389.18
506,1913,February,8.97,283.44,2314.68
507,1913,March,8.8,278.07,2281.14
508,1913,April,8.79,277.76,2288.91
509,1913,May,8.55,272.96,2259.89
510,1913,June,8.12,256.58,2134.8
511,1913,July,8.23,257.43,2152.28
512,1913,August,8.45,264.31,2220.27
513,1913,September,8.53,264.15,2229.28
514,1913,October,8.26,255.79,2169.17
515,1913,November,8.05,246.82,2103.49
516,1913,December,8.04,248.97,2132.45
517,1914,January,8.37,259.19,2230.47
518,1914,February,8.48,265.25,2293.15
519,1914,March,8.32,260.25,2260.37
520,1914,April,8.12,256.58,2239.06
521,1914,May,8.17,255.56,2240.44
522,1914,June,8.13,254.3,2239.76
523,1914,July,7.68,237.83,2104.74
524,1914,August,7.68,233.16,2073.32
525,1914,September,7.68,233.16,2083.11
526,1914,October,7.68,235.47,2113.55
527,1914,November,7.68,233.16,2102.48
528,1914,December,7.35,225.35,2041.74
529,1915,January,7.48,229.34,2087.59
530,1915,February,7.38,228.54,2090.18
531,1915,March,7.57,236.79,2175.73
532,1915,April,8.14,252.07,2326.19
533,1915,May,7.95,243.75,2259.4
534,1915,June,8.04,246.51,2295.05
535,1915,July,8.01,245.59,2296.61
536,1915,August,8.35,256.01,2404.29
537,1915,September,8.66,265.52,2503.81
538,1915,October,9.14,277.49,2626.9
539,1915,November,9.46,284.42,2702.65
540,1915,December,9.48,285.02,2718.61
541,1916,January,9.33,277.81,2660.3
542,1916,February,9.2,273.94,2633.96
543,1916,March,9.17,270.45,2611.3
544,1916,April,9.07,264.97,2569.58
545,1916,May,9.27,268.28,2613.02
546,1916,June,9.36,268.38,2625.48
547,1916,July,9.23,264.65,2600.84
548,1916,August,9.3,264.21,2608.54
549,1916,September,9.68,270.05,2678.32
550,1916,October,9.98,273.5,2724.64
551,1916,November,10.21,274.93,2751.23
552,1916,December,9.8,261.62,2630.46
553,1917,January,9.57,253.29,2559.42
554,1917,February,9.03,233.03,2367.27
555,1917,March,9.31,240.25,2453.62
556,1917,April,9.17,225.37,2314.26
557,1917,May,8.86,214.35,2213.8
558,1917,June,9.04,215.34,2236.84
559,1917,July,8.79,212.66,2222.28
560,1917,August,8.53,203.19,2136.78
561,1917,September,8.12,189.06,2001.61
562,1917,October,7.68,176.17,1878.63
563,1917,November,7.04,161.49,1735.92
564,1917,December,6.8,153.7,1666.23
565,1918,January,7.21,159.48,1742.43
566,1918,February,7.43,163.18,1796.26
567,1918,March,7.28,161.03,1785.96
568,1918,April,7.21,157.23,1756.97
569,1918,May,7.44,158.89,1788.24
570,1918,June,7.45,156.94,1778.73
571,1918,July,7.51,154.01,1757.56
572,1918,August,7.58,152.42,1751.05
573,1918,September,7.54,148.72,1719.86
574,1918,October,7.86,152.13,1770.24
575,1918,November,8.06,153.13,1792.56
576,1918,December,7.9,148.27,1746.11
577,1919,January,7.85,147.33,1745.5
578,1919,February,7.88,150.63,1795.25
579,1919,March,8.12,153.32,1837.87
580,1919,April,8.39,155.58,1875.18
581,1919,May,8.97,164.36,1991.27
582,1919,June,9.21,168.76,2054.72
583,1919,July,9.51,169.25,2070.55
584,1919,August,8.87,155.19,1908.17
585,1919,September,9.01,156.75,1937.02
586,1919,October,9.47,162.02,2011.63
587,1919,November,9.19,153.83,1919.18
588,1919,December,8.92,146.15,1832.4
589,1920,January,8.83,141.68,1785.17
590,1920,February,8.1,128.63,1629.57
591,1920,March,8.67,136.29,1735.25
592,1920,April,8.6,131.19,1678.84
593,1920,May,8.06,121.16,1558.87
594,1920,June,7.92,117.35,1518.07
595,1920,July,7.91,117.76,1531.76
596,1920,August,7.6,115.94,1516.52
597,1920,September,7.87,121.86,1602.64
598,1920,October,7.88,122.62,1621.5
599,1920,November,7.48,116.99,1555.78
600,1920,December,6.81,108.7,1454.65
601,1921,January,7.11,115.88,1559.9
602,1921,February,7.06,118.82,1608.91
603,1921,March,6.88,116.42,1585.96
604,1921,April,6.91,118.22,1620.06
605,1921,May,7.12,124.57,1716.79
606,1921,June,6.55,115.25,1598.12
607,1921,July,6.53,114.25,1593.96
608,1921,August,6.45,112.85,1584.13
609,1921,September,6.61,116.97,1651.76
610,1921,October,6.7,118.56,1684
611,1921,November,7.06,125.65,1794.47
612,1921,December,7.31,130.85,1878.55
613,1922,January,7.3,133.76,1930.56
614,1922,February,7.46,136.69,1983.19
615,1922,March,7.74,143.52,2092.86
616,1922,April,8.21,152.24,2230.69
617,1922,May,8.53,158.17,2328.52
618,1922,June,8.45,156.69,2317.72
619,1922,July,8.51,156.86,2331.39
620,1922,August,8.83,164.72,2459.6
621,1922,September,9.06,169.01,2535.22
622,1922,October,9.26,171.71,2587.3
623,1922,November,8.8,162.21,2455.84
624,1922,December,8.78,160.88,2447.55
625,1923,January,8.9,164.05,2507.73
626,1923,February,9.28,171.06,2626.85
627,1923,March,9.43,173.82,2681.46
628,1923,April,9.1,166.75,2584.49
629,1923,May,8.67,158.87,2474.63
630,1923,June,8.34,151.92,2378.73
631,1923,July,8.06,145.11,2284.39
632,1923,August,8.1,146.69,2321.59
633,1923,September,8.15,146.73,2334.8
634,1923,October,8.03,143.74,2299.63
635,1923,November,8.27,148.03,2380.97
636,1923,December,8.55,153.05,2474.3
637,1924,January,8.83,158.06,2568.15
638,1924,February,8.87,159.7,2607.79
639,1924,March,8.7,157.55,2585.95
640,1924,April,8.5,154.84,2554.73
641,1924,May,8.47,154.29,2559.2
642,1924,June,8.63,157.2,2621.14
643,1924,July,9.03,163.53,2740.22
644,1924,August,9.34,170.14,2864.79
645,1924,September,9.25,167.51,2834.44
646,1924,October,9.13,164.38,2795.28
647,1924,November,9.64,173.56,2965.41
648,1924,December,10.16,181.86,3121.32
649,1925,January,10.58,189.38,3264.54
650,1925,February,10.67,192.1,3325.89
651,1925,March,10.39,185.98,3234.42
652,1925,April,10.28,185.08,3233.57
653,1925,May,10.61,189.92,3332.96
654,1925,June,10.8,191.11,3368.75
655,1925,July,11.1,194.2,3438.09
656,1925,August,11.25,196.82,3499.61
657,1925,September,11.51,201.37,3595.72
658,1925,October,11.89,208.02,3729.83
659,1925,November,12.26,210.92,3797.12
660,1925,December,12.46,215.56,3896.19
661,1926,January,12.65,218.85,3971.43
662,1926,February,12.67,219.19,3993.8
663,1926,March,11.81,205.46,3760.07
